MarketID_period,eq_price
155500201,110
155500301,110
155500401,110
155500501,110
155500601,110
155500701,110
155600101,108
155700101,112
155800101,112
155800102,112
155800201,112
155800202,112
155800401,112
155800402,112
155800501,112
155800502,112
156000101,99
156200101,110
156200201,110
156300101,520
156300201,479
156400101,112
156400201,112
156400301,112
156400401,112
156500101,110
156600101,94
156800101,134
156800102,134
156800103,134
156800104,134
156900101,78
156900102,78
156900201,78
156900202,78
156900301,78
156900302,78
156900401,78
156900402,78
157100101,136
157100102,136
157200101,110
157200201,110
157300101,116
157300102,116
157400101,115
157500101,112
157500201,112
157500301,112
157500401,112
157500501,112
157600101,100
157600201,92
157800101,108
157900101,112
157900301,111
158000101,108
158000102,108
158000201,108
158000202,108
158000301,108
158000302,108
158000401,108
158000402,108
158000501,108
158000502,108
158000601,109
158000602,109
158100101,101
158100102,101
158100103,101
158100104,101
158300101,98
158600101,112
158800101,100
158800102,100
158800103,100
159000601,112
159100101,100
159100201,100
159300101,100
159400101,550
159400201,550
159400301,550
159400401,550
159400501,550
159400601,550
159400701,550
159400801,550
159400901,550
159401001,550
159600101,96
159600102,96
159600201,96
159600202,96
159600301,96
159600302,96
159600401,96
159600402,96
159600501,96
159600502,96
159700101,106
159900101,100
159900102,100
159900103,100
159900104,100
159900201,100
159900202,100
159900203,100
159900204,100
159900301,100
159900302,100
159900303,100
159900304,100
159900401,100
159900402,100
159900403,100
159900404,100
159900601,100
159900602,100
159900603,100
159900604,100
159900701,100
159900702,100
159900703,100
159900704,100
159900801,100
159900802,100
159900803,100
159900804,100
159900901,100
159900902,100
159900903,100
159900904,100
159901001,100
159901002,100
159901003,100
159901004,100
159901101,100
159901102,100
159901103,100
159901104,100
159901201,100
159901202,100
159901203,100
159901204,100
159901401,99
159901501,90
159901502,100
160000101,112
160000102,112
160000201,112
160000301,112
160000401,108
160400101,107
160400201,107
160500101,110
160500201,110
160500301,110
160500401,110
160600101,108
160700101,112
160700201,112
160700301,112
160700401,112
160700501,112
160700601,112
160700701,112
160700801,112
160700901,112
160701001,112
160701101,112
160701201,112
160800101,110
160900101,112
160900201,112
160900301,112
160900401,112
161000101,112
161000102,112
161000103,112
161000201,112
161000202,112
161000203,112
161000301,112
161000302,112
161000303,112
161300101,129
161700101,96
161700102,96
161700201,96
161700202,96
161700301,96
161700302,96
161700401,96
161700402,96
161700501,96
161700502,96
161800101,494
161900101,125
161900201,125
161900301,125
161900401,125
161900501,125
162000101,118
162000201,118
162000301,118
162100101,112
162100201,112
162300101,108
162300102,108
162300201,108
162300202,108
162400101,110
162400201,110
162400301,110
162400401,110
162400501,110
162500101,112
162500201,112
162600101,112
162600201,112
162600301,112
162600401,112
162600501,112
162700101,112
162800101,114
162800102,114
162800103,114
162900101,123
162900102,123
163000101,112
163000102,112
163000201,112
163000202,112
163000301,112
163000302,112
163000401,112
163000402,112
163200101,107
163301001,116
163301002,116
163301101,116
163301102,116
163301201,116
163301202,116
163301301,116
163301302,116
163301401,116
163301402,116
163301501,116
163301502,116
163301601,116
163301602,116
163301701,116
163301702,116
163301801,116
163301802,116
163301901,116
163301902,116
163302001,114
163700101,90
163700102,90
163700201,90
163700202,90
163700301,90
163700302,90
163800101,114
163900101,120
163900102,120
163900201,120
163900202,120
163900301,120
163900302,120
163900401,120
163900402,120
163900501,120
163900502,120
163900601,120
163900602,120
163900701,120
163900702,120
163900801,120
163900802,120
164000101,140
164100101,128
164200101,550
164200201,550
164200301,550
164200401,550
164200501,550
164200601,550
164200701,550
164200801,550
164200901,550
164201001,550
164300101,112
164400101,105
164400201,105
164400301,105
164600101,90
164700101,112
164700201,112
164700301,112
164700401,112
164700501,112
164700601,112
164800101,114
164800201,114
164800301,114
164800401,114
164800501,114
164800601,114
164800701,114
164800801,114
164800901,114
164801001,114
164801101,114
164801201,114
164900101,95
164900102,95
164900201,95
164900202,95
164900301,95
164900302,95
164900401,95
164900402,95
165000101,100
165100101,96
165100102,96
165100201,96
165100202,96
165100301,96
165100302,96
165200101,125
165400101,112
165400102,112
165500101,78
165500102,78
165500201,78
165500202,78
165700101,95
165800101,112
165800102,112
165800201,112
165800202,112
165800301,112
165800302,112
166100101,65
166100102,65
166100201,65
166100202,65
166100301,65
166100302,65
166400101,110
166400102,110
166400201,103
166400202,103
166700101,96
166700102,96
166700201,96
166700202,96
166700301,96
166700302,96
166700401,96
166700402,96
166700501,96
166700502,96
166700601,93
166800101,120
166800201,120
166800301,120
166800401,120
166800501,120
166800701,120
166800901,120
166801001,120
167000101,112
167000201,112
167000301,112
167000401,112
167200101,130
167200201,90
167300101,90
167300201,90
167300301,90
167500101,116
167500201,116
167500301,116
167500401,116
167500501,116
167500601,116
167500701,116
167600101,112
167600201,112
167800101,96
167800102,96
167800201,96
167800202,96
167800301,96
167800302,96
167800401,96
167800402,96
167900101,777
167900201,777
167900301,777
167900401,777
167900501,777
167900601,777
168000101,500
168100101,78
168100102,78
168100201,78
168100202,78
168100301,78
168100302,78
168100401,78
168100402,78
168100501,75
168200101,110
168200201,110
168200301,110
168200401,110
168200501,110
168300101,114
168300201,114
168300301,114
168300401,114
168300501,114
168300601,114
168300701,112
168500101,218
168700101,65
168700102,65
168700201,65
168700202,65
168700301,65
168700302,65
168800101,135
168800201,135
168800301,135
168800401,132
168900101,78
168900102,78
168900201,78
168900202,78
168900301,78
168900302,78
169000101,100
169100101,100
169200101,112
169200201,112
169200301,97
169300101,86
169400101,116
169400102,116
169400201,116
169400202,116
169400301,116
169400302,116
169400401,116
169400402,116
169400501,116
169400502,116
169400601,116
169400602,116
169400701,116
169400702,116
169500101,78
169500102,78
169500201,78
169500202,78
169500301,78
169500302,78
169500401,78
169500402,78
169500501,78
169500502,78
169900101,662
170100101,489
170200101,660
170500101,97
170700101,113
170900101,102
170900102,102
170900103,102
170900202,102
171000101,112
171000102,112
171000201,112
171000202,112
171000301,112
171000302,112
171100101,112
171100201,112
171100301,110
171400101,105
171400201,100
171500101,115
171500201,115
171500301,115
171800101,100
171800102,100
171800301,100
171800402,100
172000101,107
172000201,107
172000301,107
172000401,107
172000501,107
172000601,107
172000701,107
172000801,105
172100101,112
172100102,112
172200101,112
172200201,112
172200301,112
172200401,112
172200601,112
172300101,112
172300201,112
172300301,112
172400101,112
172400201,112
172400301,112
172400401,101
172600101,112
172600102,112
172600103,112
172600104,112
172600201,112
172600202,112
172600203,112
172600204,112
172700101,78
172700102,78
172700201,78
172700202,78
172900101,400
172900201,400
172900301,400
172900401,400
172900501,355
173000101,96
173000102,96
173000103,96
173000201,96
173000202,96
173000203,96
173000301,96
173000302,96
173000303,96
173100101,119
173100201,119
173100301,119
173100401,119
173100501,119
173100601,119
173100701,119
173100801,119
173100901,114
173200101,112
173200201,112
173200301,112
173200401,112
173200501,112
173200601,112
173200701,112
173200801,112
173200901,112
173201001,106
173201101,112
173201201,112
173201301,112
